 Testing Label Acc: [0.9714285731315613, 0.9427312612533569, 0.8081395626068115, 0.6881188154220581, 0.6344195604324341, 0.43161433935165405, 0.81210857629776, 0.0, 0.5328541994094849, 0.8959365487098694]
 Testing Label Acc: [0.9836734533309937, 0.9621145129203796, 0.7063953280448914, 0.8356435894966125, 0.6985743641853333, 0.2230941653251648, 0.8851774334907532, 0.23346303403377533, 0.5379877090454102, 0.792864203453064]
 Testing Label Acc: [0.9581632614135742, 0.9224669337272644, 0.6686046719551086, 0.8712871074676514, 0.7525458335876465, 0.45515695214271545, 0.9018788933753967, 0.7587548494338989, 0.6878849864006042, 0.7036669850349426]
 Testing Label Acc: [0.972449004650116, 0.8634361028671265, 0.9108527302742004, 0.7594059109687805, 0.14358451962471008, 0.10762331634759903, 0.9227557182312012, 0.0, 0.3819301724433899, 0.9256689548492432]
 Testing Label Acc: [0.968367338180542, 0.9180616736412048, 0.876937985420227, 0.7841584086418152, 0.7739307284355164, 0.39461883902549744, 0.9008350968360901, 0.0, 0.5523613691329956, 0.6412289142608643]
 Testing Label Acc: [0.9663265347480774, 0.9092510938644409, 0.7645348906517029, 0.7841584086418152, 0.6680244207382202, 0.47869956493377686, 0.8705636858940125, 0.8025291562080383, 0.7104722857475281, 0.7205153703689575]
 Testing Label Acc: [0.9704081416130066, 0.9057268500328064, 0.8013566136360168, 0.8396039605140686, 0.7484725117683411, 0.0997757837176323, 0.931106448173523, 0.0, 0.6827515363693237, 0.6560951471328735]
 Testing Label Acc: [0.9704081416130066, 0.9515418410301208, 0.7209302186965942, 0.8851485252380371, 0.20977596938610077, 0.029147982597351074, 0.9185803532600403, 0.0, 0.4342915713787079, 0.9157581925392151]
 Testing Label Acc: [0.9734693765640259, 0.9471365809440613, 0.7897287011146545, 0.8742574453353882, 0.7077392935752869, 0.2399103194475174, 0.8611690998077393, 0.13521400094032288, 0.6427104473114014, 0.8027750253677368]
 Testing Label Acc: [0.9867346882820129, 0.9823788404464722, 0.8536821603775024, 0.7356435656547546, 0.8839103579521179, 0.1065022423863411, 0.8789144158363342, 0.0, 0.24127310514450073, 0.5133795738220215]
 Testing Label Acc: [0.9734693765640259, 0.9656387567520142, 0.8914728760719299, 0.8891088962554932, 0.8503054976463318, 0.6670403480529785, 0.9081419706344604, 0.5992217659950256, 0.8151950836181641, 0.79682856798172]
 Testing Label Acc: [0.9744898080825806, 0.9700440764427185, 0.8866279125213623, 0.8712871074676514, 0.7668024301528931, 0.6177130341529846, 0.8977035284042358, 0.674124538898468, 0.7648870348930359, 0.8691774010658264]
 Testing Label Acc: [0.9775510430335999, 0.9691630005836487, 0.8963178396224976, 0.8663366436958313, 0.7393075227737427, 0.5112107396125793, 0.8956158757209778, 0.637159526348114, 0.7566735148429871, 0.8295341730117798]
 Testing Label Acc: [0.9612244963645935, 0.9471365809440613, 0.8556201457977295, 0.8594059348106384, 0.8279022574424744, 0.6625560522079468, 0.9415448904037476, 0.655642032623291, 0.8429158329963684, 0.8463825583457947]
 Testing Label Acc: [0.9673469662666321, 0.9594713449478149, 0.8817829489707947, 0.8346534371376038, 0.8553971648216248, 0.8195067048072815, 0.8997912406921387, 0.701361894607544, 0.8121150135993958, 0.7215064167976379]
 Testing Label Acc: [0.9673469662666321, 0.9753304123878479, 0.7829457521438599, 0.8702970147132874, 0.7270875573158264, 0.6255605220794678, 0.9467641115188599, 0.34533074498176575, 0.7997946739196777, 0.8632309436798096]
 Testing Label Acc: [0.972449004650116, 0.9700440764427185, 0.8459302186965942, 0.89207923412323, 0.6945010423660278, 0.7466367483139038, 0.9154488444328308, 0.5768482685089111, 0.7751539945602417, 0.871159553527832]
 Testing Label Acc: [0.9765306115150452, 0.9559471607208252, 0.8846899271011353, 0.8900989890098572, 0.8044806718826294, 0.4764573872089386, 0.9112734794616699, 0.707198441028595, 0.826488733291626, 0.8691774010658264]
 Testing Label Acc: [0.9244897961616516, 0.9691630005836487, 0.8410852551460266, 0.9227722883224487, 0.8482688665390015, 0.5381165742874146, 0.9707724452018738, 0.057392995804548264, 0.6960985660552979, 0.4192269444465637]
 Testing Label Acc: [0.9571428298950195, 0.9709250926971436, 0.8149224519729614, 0.8999999761581421, 0.7169042825698853, 0.8026905655860901, 0.9321503043174744, 0.6254863739013672, 0.6088295578956604, 0.8166501522064209]
 Testing Label Acc: [0.9704081416130066, 0.9726872444152832, 0.9011628031730652, 0.8831683397293091, 0.8095722794532776, 0.8161435127258301, 0.9551148414611816, 0.40758755803108215, 0.8275154232978821, 0.8899900913238525]
 Testing Label Acc: [0.9632652997970581, 0.9700440764427185, 0.8779069781303406, 0.89702969789505, 0.8615071177482605, 0.7533632516860962, 0.9551148414611816, 0.7752918004989624, 0.8049281239509583, 0.8899900913238525]
 Testing Label Acc: [0.9642857313156128, 0.9603524208068848, 0.8662790656089783, 0.8881188035011292, 0.7851324081420898, 0.878923773765564, 0.9572024941444397, 0.11089494079351425, 0.8090348839759827, 0.8612487316131592]
 Testing Label Acc: [0.9755101799964905, 0.9753304123878479, 0.8875969052314758, 0.8792079091072083, 0.9154785871505737, 0.8116592168807983, 0.931106448173523, 0.755836546421051, 0.8418891429901123, 0.8196234107017517]
 Testing Label Acc: [0.9785714149475098, 0.9629955887794495, 0.875, 0.894059419631958, 0.842158854007721, 0.7589685916900635, 0.9112734794616699, 0.7295719981193542, 0.870636522769928, 0.8989098072052002]
